shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
TPUJ_4A_BP05,13.787011,121.069294,127
TPUJ_4A_BP05,13.786888,121.069264,128
TPUJ_4A_BP05,13.786734,121.069227,129
TPUJ_4A_BP05,13.786623,121.069199,130
TPUJ_4A_BP05,13.786513,121.069172,131
TPUJ_4A_BP05,13.786254,121.069103,132
TPUJ_4A_BP05,13.785985,121.069017,133
TPUJ_4A_BP05,13.7857,121.068937,134
TPUJ_4A_BP05,13.78558,121.068906,135
TPUJ_4A_BP05,13.785208,121.06881,136
TPUJ_4A_BP05,13.784672,121.06867,137
TPUJ_4A_BP05,13.784516,121.068643,138
TPUJ_4A_BP05,13.784356,121.06862,139
TPUJ_4A_BP05,13.784178,121.068596,140
TPUJ_4A_BP05,13.783626,121.068527,141
TPUJ_4A_BP05,13.783393,121.068487,142
TPUJ_4A_BP05,13.783248,121.068453,143
TPUJ_4A_BP05,13.783194,121.068441,144
TPUJ_4A_BP05,13.782933,121.068384,145
TPUJ_4A_BP05,13.782314,121.068264,146
TPUJ_4A_BP05,13.782286,121.068257,147
TPUJ_4A_BP05,13.782109,121.068219,148
TPUJ_4A_BP05,13.781899,121.068173,149
TPUJ_4A_BP05,13.781861,121.068165,150
TPUJ_4A_BP05,13.781746,121.06814,151
TPUJ_4A_BP05,13.781556,121.068101,152
TPUJ_4A_BP05,13.781365,121.068065,153
TPUJ_4A_BP05,13.781145,121.068012,154
TPUJ_4A_BP05,13.780891,121.067951,155
TPUJ_4A_BP05,13.780466,121.067869,156
TPUJ_4A_BP05,13.780424,121.067862,157
TPUJ_4A_BP05,13.780378,121.067854,158
TPUJ_4A_BP05,13.780236,121.067829,159
TPUJ_4A_BP05,13.780155,121.067817,160
TPUJ_4A_BP05,13.780083,121.067802,161
TPUJ_4A_BP05,13.780051,121.067796,162
TPUJ_4A_BP05,13.77999,121.067779,163
TPUJ_4A_BP05,13.779944,121.067764,164
TPUJ_4A_BP05,13.779758,121.067697,165
TPUJ_4A_BP05,13.779647,121.067651,166
TPUJ_4A_BP05,13.779326,121.067503,167
TPUJ_4A_BP05,13.779154,121.067412,168
TPUJ_4A_BP05,13.778871,121.067282,169
TPUJ_4A_BP05,13.778485,121.067121,170
TPUJ_4A_BP05,13.778315,121.067062,171
TPUJ_4A_BP05,13.777913,121.06694,172
TPUJ_4A_BP05,13.777715,121.066877,173
TPUJ_4A_BP05,13.777188,121.066724,174
TPUJ_4A_BP05,13.77684,121.066641,175
TPUJ_4A_BP05,13.776697,121.066607,176
TPUJ_4A_BP05,13.776644,121.066595,177
TPUJ_4A_BP05,13.776552,121.066576,178
TPUJ_4A_BP05,13.776489,121.066568,179
TPUJ_4A_BP05,13.776386,121.06655,180
TPUJ_4A_BP05,13.776255,121.066531,181
TPUJ_4A_BP05,13.776089,121.066506,182
TPUJ_4A_BP05,13.775846,121.066466,183
TPUJ_4A_BP05,13.775434,121.066402,184
TPUJ_4A_BP05,13.775258,121.066378,185
TPUJ_4A_BP05,13.774882,121.066319,186
TPUJ_4A_BP05,13.774758,121.066307,187
TPUJ_4A_BP05,13.774695,121.066296,188
TPUJ_4A_BP05,13.774559,121.06628,189
TPUJ_4A_BP05,13.774414,121.06626,190
TPUJ_4A_BP05,13.774348,121.066248,191
TPUJ_4A_BP05,13.774199,121.066222,192
TPUJ_4A_BP05,13.773561,121.066103,193
TPUJ_4A_BP05,13.773423,121.066079,194
TPUJ_4A_BP05,13.773255,121.066049,195
TPUJ_4A_BP05,13.772884,121.065987,196
TPUJ_4A_BP05,13.772304,121.065861,197
TPUJ_4A_BP05,13.772011,121.065789,198
TPUJ_4A_BP05,13.771873,121.065753,199
TPUJ_4A_BP05,13.771736,121.065713,200
TPUJ_4A_BP05,13.771668,121.065692,201
TPUJ_4A_BP05,13.771524,121.06565,202
TPUJ_4A_BP05,13.771347,121.065607,203
TPUJ_4A_BP05,13.771222,121.065565,204
